"Date","Plaza ID","Direction","# Vehicles - E-ZPass","# Vehicles - VToll"
"03/18/2017","1","O","26,965","7,866"
"03/17/2017","1","I","33,877","7,167"
"03/17/2017","1","O","35,962","7,563"
"03/16/2017","1","I","32,126","6,183"
"03/16/2017","1","O","34,308","6,418"
"03/15/2017","1","I","24,942","4,836"
"03/15/2017","1","O","26,583","5,149"
"03/14/2017","1","I","5,680","1,418"
"03/14/2017","1","O","5,565","1,381"
"03/13/2017","1","I","32,800","6,773"
"03/13/2017","1","O","36,467","7,550"
"03/12/2017","1","I","26,796","7,879"
"03/12/2017","1","O","28,447","8,117"
"03/11/2017","1","I","28,380","8,136"
"03/11/2017","1","O","29,557","8,692"
"03/10/2017","1","I","31,511","6,721"
"03/10/2017","1","O","33,740","7,553"
"03/09/2017","1","I","34,985","7,053"
"03/09/2017","1","O","36,180","7,353"
"03/08/2017","1","I","33,512","6,537"
"03/08/2017","1","O","34,404","6,948"
"03/07/2017","1","I","30,344","5,938"
"03/07/2017","1","O","33,419","6,657"
"03/06/2017","1","I","31,187","6,364"
"03/06/2017","1","O","33,531","6,964"
"03/05/2017","1","I","26,224","8,136"
"03/05/2017","1","O","29,066","8,382"
"03/04/2017","1","I","26,426","7,721"
"03/04/2017","1","O","29,089","8,796"
"03/03/2017","1","I","33,744","7,368"
"03/03/2017","1","O","34,938","7,894"
"03/02/2017","1","I","33,169","6,533"
"03/02/2017","1","O","35,889","7,106"
"03/01/2017","1","I","32,929","6,466"
"03/01/2017","1","O","35,043","6,945"
"02/28/2017","1","I","31,377","6,168"
"02/28/2017","1","O","33,912","6,612"
"02/27/2017","1","I","31,275","6,634"
"02/27/2017","1","O","34,324","7,057"
"02/26/2017","1","I","25,386","7,837"
"02/26/2017","1","O","28,720","8,767"
"02/25/2017","1","I","27,954","8,665"
"02/25/2017","1","O","28,718","8,950"
"02/24/2017","1","I","34,383","7,786"
"02/24/2017","1","O","36,302","8,479"
"02/23/2017","1","I","33,268","6,941"
"02/23/2017","1","O","36,259","7,602"
"02/22/2017","1","I","31,830","6,710"
"02/22/2017","1","O","34,817","6,984"
"02/21/2017","1","I","32,020","6,690"
"02/21/2017","1","O","34,170","7,095"
"02/20/2017","1","I","26,166","6,603"
"02/20/2017","1","O","32,014","7,648"
"02/19/2017","1","I","26,220","8,194"
"02/19/2017","1","O","29,509","9,142"
"02/18/2017","1","I","29,465","8,569"
"02/18/2017","1","O","30,226","9,618"
